# Average windspeeds at the sites of 8263 new windmills in Deutschland  at 175m 
# sites from https://www.marktstammdatenregister.de/MaStR 20260101 running since 2024 or planned
# windspeeds from https://opendata.dwd.de/.../cosmo_rea6 hourly in 2014
# written ~bz/py/wind/markt/new/newwindmills.py 2026-02-19 Feb 15:20 

Cosmowind175	Cosmocap175	AGS	State	MW	Lat	Lon	Thi	Rotor	Date	Lkr	Place
6.91	40	12052	BB	6	51.7947	14.4706	167	164	2027-11-15	Cottbus	Cottbus
6.91	40	12052	BB	6	51.7933	14.4596	167	164	2027-11-15	Cottbus	Cottbus
6.91	40	12052	BB	6	51.7956	14.4644	167	164	2027-11-15	Cottbus	Cottbus
7.31	43	12061	BB	6.8	51.9627	13.4546	179	175	2025-12-15	Dahme-Spreewald	Steinreich
7.31	43	12061	BB	6.8	51.9698	13.4528	179	175	2025-12-12	Dahme-Spreewald	Steinreich
7.17	42	12061	BB	7.2	51.9655	13.4992	169	162	2027-04-03	Dahme-Spreewald	Steinreich
7.17	42	12061	BB	7.2	51.9582	13.4955	169	162	2027-04-03	Dahme-Spreewald	Steinreich
7.17	42	12061	BB	7.2	51.9543	13.4905	169	162	2027-04-03	Dahme-Spreewald	Steinreich
7.17	42	12061	BB	7.2	51.9572	13.4879	169	162	2027-04-03	Dahme-Spreewald	Steinreich
7.17	42	12061	BB	6.8	51.9335	13.5171	179	175	2026-01-31	Dahme-Spreewald	Steinreich
7.17	42	12061	BB	6.8	51.9378	13.5331	179	175	2026-01-31	Dahme-Spreewald	Drahnsdorf
7.17	42	12061	BB	7.2	51.9599	13.4853	169	162	2027-04-03	Dahme-Spreewald	Steinreich
7.17	42	12061	BB	7.2	51.9648	13.5066	169	162	2027-04-03	Dahme-Spreewald	Steinreich
7.17	42	12061	BB	4.2	51.9633	13.492	149	116	2027-04-03	Dahme-Spreewald	Steinreich
7.17	42	12061	BB	4.2	51.9603	13.4955	149	116	2027-04-03	Dahme-Spreewald	Steinreich
7.17	42	12061	BB	7.2	51.9605	13.5022	169	162	2027-04-03	Dahme-Spreewald	Steinreich
7.17	42	12061	BB	6.8	51.941	13.5353	179	175	2026-01-31	Dahme-Spreewald	Steinreich
7.17	42	12061	BB	6.8	51.9347	13.531	179	175	2026-01-31	Dahme-Spreewald	Drahnsdorf
7.17	42	12061	BB	6.8	51.9621	13.4686	179	175	2025-12-31	Dahme-Spreewald	Steinreich
7.17	42	12061	BB	6.8	51.9616	13.4738	179	175	2025-12-31	Dahme-Spreewald	Steinreich
7.17	42	12061	BB	6.8	51.96	13.4793	179	175	2025-11-30	Dahme-Spreewald	Steinreich
7.17	42	12061	BB	6.8	51.9632	13.4829	179	175	2025-11-30	Dahme-Spreewald	Steinreich
7.17	42	12061	BB	6.8	51.9661	13.472	179	175	2025-11-30	Dahme-Spreewald	Steinreich
7.17	42	12061	BB	6.8	51.9395	13.542	179	175	2026-01-31	Dahme-Spreewald	Drahnsdorf
7.17	42	12061	BB	6.8	51.9693	13.4656	179	175	2025-12-31	Dahme-Spreewald	Steinreich
7.17	42	12061	BB	6.8	51.9365	13.5388	179	175	2026-01-31	Dahme-Spreewald	Drahnsdorf
7.17	42	12061	BB	6.8	51.9628	13.4628	179	175	2025-11-30	Dahme-Spreewald	Steinreich
7.17	42	12061	BB	6.8	51.9668	13.4587	179	175	2025-11-30	Dahme-Spreewald	Steinreich
7.17	42	12061	BB	6.8	51.9367	13.5226	179	175	2026-01-31	Dahme-Spreewald	Drahnsdorf
7.15	42	12061	BB	6.8	51.9331	13.5376	179	175	2026-01-31	Dahme-Spreewald	Drahnsdorf
7.15	42	12061	BB	6.8	51.9308	13.5206	179	175	2026-01-31	Dahme-Spreewald	Drahnsdorf
7.15	42	12061	BB	6.8	51.9308	13.5139	179	175	2026-01-31	Dahme-Spreewald	Steinreich
7.14	42	12061	BB	6.2	51.8609	13.5488	119	162	2028-05-01	Dahme-Spreewald	Heideblick
7.14	42	12061	BB	6.2	51.8568	13.5484	119	162	2028-05-01	Dahme-Spreewald	Heideblick
7.12	42	12061	BB	6	52.0697	14.3441	165	160	2027-06-01	Dahme-Spreewald	Lieberose
7.12	42	12061	BB	6.2	51.8595	13.5547	119	162	2028-05-01	Dahme-Spreewald	Heideblick
7.08	42	12061	BB	6.8	52.0604	14.3499	179	175	2028-06-30	Dahme-Spreewald	Jamlitz
7.08	42	12061	BB	6.8	52.0525	14.3534	179	175	2028-06-30	Dahme-Spreewald	Jamlitz
7.08	42	12061	BB	6	52.0562	14.3454	165	160	2027-06-14	Dahme-Spreewald	Lieberose
7.08	42	12061	BB	6	52.0649	14.3443	165	160	2027-12-06	Dahme-Spreewald	Lieberose
7.08	42	12061	BB	6	52.0595	14.3417	165	160	2027-03-25	Dahme-Spreewald	Lieberose
6.98	40	12061	BB	6	51.9051	13.7498	162	175	2026-07-01	Dahme-Spreewald	Bersteland
6.98	40	12061	BB	6	51.9102	13.7611	162	175	2026-07-01	Dahme-Spreewald	Bersteland
6.98	40	12061	BB	6	51.9044	13.7569	162	175	2026-07-01	Dahme-Spreewald	Bersteland
6.98	40	12061	BB	5.6	51.9844	13.7293	169	162	2025-03-30	Dahme-Spreewald	Schönwald
6.98	40	12061	BB	5.6	51.982	13.7334	169	162	2025-03-30	Dahme-Spreewald	Schönwald
6.98	40	12061	BB	5.6	51.9904	13.7243	169	150	2025-04-16	Dahme-Spreewald	Schönwald
6.98	40	12061	BB	5.6	51.9871	13.7259	169	162	2025-03-30	Dahme-Spreewald	Schönwald
6.98	40	12061	BB	6	51.9137	13.7551	162	175	2026-07-01	Dahme-Spreewald	Bersteland
6.98	40	12061	BB	6	51.9633	13.7763	169	150	2027-09-07	Dahme-Spreewald	Schönwald
6.98	40	12061	BB	6	51.9099	13.7512	162	175	2026-07-01	Dahme-Spreewald	Bersteland
6.98	40	12061	BB	6	51.9168	13.749	162	175	2026-07-01	Dahme-Spreewald	Kasel-Golzig
6.98	40	12061	BB	7.2	51.9786	13.7297	175	172	2027-10-01	Dahme-Spreewald	Bersteland
6.98	40	12061	BB	6.8	51.9722	13.7982	179	175	2027-06-01	Dahme-Spreewald	Lübben
6.98	40	12061	BB	7.2	51.9697	13.7953	169	162	2026-12-31	Dahme-Spreewald	Schönwald
6.98	40	12061	BB	7.2	51.9622	13.768	175	172	2026-06-30	Dahme-Spreewald	Schönwald
6.96	40	12061	BB	5.6	51.9921	13.7162	169	162	2025-04-16	Dahme-Spreewald	Schönwald
6.96	40	12061	BB	5.6	51.9892	13.7189	169	150	2025-03-30	Dahme-Spreewald	Schönwald
6.95	41	12061	BB	6	52.0671	14.3325	165	160	2025-03-31	Dahme-Spreewald	Lieberose
6.95	41	12061	BB	6	52.0649	14.3271	165	160	2025-03-31	Dahme-Spreewald	Lieberose
6.95	41	12061	BB	6	52.0615	14.324	165	160	2027-03-22	Dahme-Spreewald	Lieberose
6.95	41	12061	BB	6	52.0677	14.3392	165	160	2027-12-06	Dahme-Spreewald	Lieberose
6.95	41	12061	BB	6	52.0521	14.3407	165	160	2025-04-01	Dahme-Spreewald	Lieberose
6.95	41	12061	BB	6.8	52.0507	14.3136	165	163	2024-01-10	Dahme-Spreewald	Lieberose
6.95	41	12061	BB	6	52.0635	14.3361	165	160	2025-03-31	Dahme-Spreewald	Lieberose
6.95	41	12061	BB	3.5	52.0586	14.3122	137	126	2026-09-14	Dahme-Spreewald	Lieberose
6.93	40	12061	BB	4.2	51.9603	13.9789	169	136	2025-04-11	Dahme-Spreewald	Neu_Zauche
6.93	40	12061	BB	4.2	51.9653	13.9797	169	136	2025-04-11	Dahme-Spreewald	Neu_Zauche
6.92	40	12061	BB	6	51.9935	13.7221	169	150	2025-04-16	Dahme-Spreewald	Schönwald
7.06	41	12062	BB	7	51.6516	13.8197	185	170	2026-12-31	Elbe-Elster	Massen
7.06	41	12062	BB	6.8	51.6418	13.8303	165	163	2024-03-22	Elbe-Elster	Sallgast
7.06	41	12062	BB	7	51.6519	13.8128	185	170	2026-12-31	Elbe-Elster	Massen
7.06	41	12062	BB	7	51.6488	13.8042	185	170	2026-12-31	Elbe-Elster	Massen
7.06	41	12062	BB	6.8	51.6554	13.8099	180	175	2027-01-31	Elbe-Elster	Massen
7.06	41	12062	BB	7	51.6481	13.8102	185	170	2026-12-31	Elbe-Elster	Massen
7.06	41	12062	BB	7	51.6489	13.8156	185	170	2026-12-31	Elbe-Elster	Massen
7.06	41	12062	BB	6.8	51.6552	13.8168	180	175	2027-01-31	Elbe-Elster	Massen
7.06	41	12062	BB	6.8	51.655	13.8223	180	175	2027-01-31	Elbe-Elster	Massen
7.06	41	12062	BB	7	51.652	13.8068	185	170	2026-12-31	Elbe-Elster	Massen
6.89	40	12062	BB	3.5	51.6702	13.3799	100	136	2027-04-29	Elbe-Elster	Schlieben
6.89	40	12062	BB	3.8	51.6542	13.3565	97	126	2027-04-02	Elbe-Elster	Doberlug-Kirchhain
6.89	40	12062	BB	3.5	51.6709	13.387	97	136	2027-04-07	Elbe-Elster	Schlieben
6.89	40	12062	BB	3.8	51.667	13.3633	97	126	2027-04-07	Elbe-Elster	Schlieben
6.89	40	12062	BB	3.8	51.6652	13.3852	97	126	2027-04-09	Elbe-Elster	Schlieben
6.89	40	12062	BB	3.8	51.6638	13.3677	97	126	2027-04-01	Elbe-Elster	Schlieben
6.89	40	12062	BB	4.1	51.6593	13.3611	92	115	2027-04-08	Elbe-Elster	Doberlug-Kirchhain
6.89	40	12062	BB	4.1	51.655	13.3629	92	115	2027-04-05	Elbe-Elster	Doberlug-Kirchhain
6.89	40	12062	BB	4.1	51.6625	13.3619	92	115	2027-04-01	Elbe-Elster	Schlieben
6.89	40	12062	BB	3.5	51.6735	13.3635	100	137	2026-11-12	Elbe-Elster	Schlieben
6.89	40	12062	BB	3.5	51.6635	13.3803	97	136	2027-04-08	Elbe-Elster	Doberlug-Kirchhain
6.89	40	12062	BB	3.5	51.6696	13.3626	97	136	2027-04-15	Elbe-Elster	Schlieben
6.89	40	12062	BB	3.5	51.663	13.3745	97	137	2027-04-02	Elbe-Elster	Doberlug-Kirchhain
6.89	40	12062	BB	3.5	51.6677	13.3826	97	136	2027-04-06	Elbe-Elster	Schlieben
6.89	40	12062	BB	3.5	51.6517	13.3667	100	137	2026-11-11	Elbe-Elster	Doberlug-Kirchhain
6.76	38	12062	BB	6.8	51.4457	13.4774	180	175	2028-04-25	Elbe-Elster	Elsterwerda
6.76	38	12062	BB	7	51.4456	13.4874	185	170	2026-09-30	Elbe-Elster	Elsterwerda
6.76	38	12062	BB	7	51.445	13.4826	185	170	2026-09-30	Elbe-Elster	Elsterwerda
6.76	38	12062	BB	7	51.4499	13.4854	185	170	2026-09-30	Elbe-Elster	Elsterwerda
7.22	43	12053	BB	6	52.3907	14.4352	166	150	2026-10-31	Frankfurt_(Oder)	Frankfurt
7.22	43	12053	BB	6	52.3887	14.4462	166	150	2026-10-31	Frankfurt_(Oder)	Frankfurt
7.22	43	12053	BB	6	52.385	14.443	166	150	2026-10-31	Frankfurt_(Oder)	Frankfurt
7.22	43	12053	BB	6	52.3953	14.443	166	150	2026-10-31	Frankfurt_(Oder)	Frankfurt
7.22	43	12053	BB	6	52.388	14.4394	166	150	2026-10-31	Frankfurt_(Oder)	Frankfurt
7.22	43	12053	BB	6	52.3915	14.4415	166	150	2026-10-31	Frankfurt_(Oder)	Frankfurt
7.22	43	12053	BB	6	52.3926	14.4485	166	150	2026-10-31	Frankfurt_(Oder)	Frankfurt
7.22	43	12053	BB	6	52.3942	14.4372	166	150	2026-10-31	Frankfurt_(Oder)	Frankfurt
7.57	46	12063	BB	6.6	52.5207	12.9117	165	170	2027-06-30	Havelland	Wustermark
7.57	46	12063	BB	6.6	52.5243	12.9119	165	170	2027-06-30	Havelland	Wustermark
7.54	46	12063	BB	7.2	52.6086	12.8034	175	172	2028-03-30	Havelland	Nauen
7.54	46	12063	BB	7.2	52.6072	12.7976	175	172	2028-03-30	Havelland	Nauen
7.54	46	12063	BB	7.2	52.5846	12.8248	175	172	2028-03-30	Havelland	Nauen
7.54	46	12063	BB	7.2	52.5876	12.8314	175	172	2028-03-30	Havelland	Nauen
7.54	46	12063	BB	7.2	52.6103	12.809	175	172	2028-03-30	Havelland	Nauen
7.54	46	12063	BB	7.2	52.6047	12.8071	175	172	2028-03-30	Havelland	Nauen
7.54	46	12063	BB	7.2	52.579	12.823	175	172	2028-03-30	Havelland	Nauen
7.54	46	12063	BB	7.2	52.5798	12.8318	175	172	2028-03-30	Havelland	Nauen
7.54	46	12063	BB	7.2	52.5835	12.8325	175	172	2028-03-30	Havelland	Nauen
7.54	46	12063	BB	7.2	52.6051	12.8141	175	172	2028-03-30	Havelland	Nauen
7.49	46	12063	BB	6.6	52.5116	12.9086	166	170	2027-06-30	Havelland	Wustermark
7.49	46	12063	BB	6.6	52.5083	12.9061	166	170	2027-06-30	Havelland	Wustermark
7.78	48	12064	BB	5.6	52.696	13.8396	166	150	2024-09-30	Märkisch-Oderland	Beiersdorf-Freudenberg
7.78	48	12064	BB	5.6	52.6953	13.8484	166	150	2024-09-30	Märkisch-Oderland	Beiersdorf-Freudenberg
7.78	48	12064	BB	5.6	52.7095	13.8594	166	150	2025-12-31	Märkisch-Oderland	Beiersdorf-Freudenberg
7.78	48	12064	BB	5.6	52.7095	13.8594	166	150	2025-09-01	Märkisch-Oderland	Beiersdorf-Freudenberg
7.78	48	12064	BB	5.7	52.7111	13.8474	164	149	2026-10-31	Märkisch-Oderland	Beiersdorf-Freudenberg
7.78	48	12064	BB	5.7	52.7095	13.8528	164	149	2026-10-31	Märkisch-Oderland	Beiersdorf-Freudenberg
7.78	48	12064	BB	5.7	52.711	13.8647	164	149	2027-02-20	Märkisch-Oderland	Heckelberg-Brunow
7.78	48	12064	BB	5.7	52.7024	13.8486	164	149	2026-02-20	Märkisch-Oderland	Beiersdorf-Freudenberg
7.74	48	12064	BB	5.7	52.6801	13.7933	164	163	2024-01-13	Märkisch-Oderland	Beiersdorf-Freudenberg
7.69	47	12064	BB	5.7	52.7142	13.8645	164	149	2027-02-20	Märkisch-Oderland	Heckelberg-Brunow
7.69	47	12064	BB	5.6	52.7132	13.8438	166	150	2025-09-30	Märkisch-Oderland	Beiersdorf-Freudenberg
7.69	47	12064	BB	5.6	52.7131	13.8518	169	150	2026-12-31	Märkisch-Oderland	Beiersdorf-Freudenberg
7.59	46	12064	BB	5.7	52.7419	13.8122	164	163	2026-07-31	Märkisch-Oderland	Heckelberg-Brunow
7.59	46	12064	BB	5.7	52.7454	13.8148	164	149	2026-07-31	Märkisch-Oderland	Heckelberg-Brunow
7.58	46	12064	BB	4.2	52.6595	14.0022	160	138	2024-02-14	Märkisch-Oderland	Prötzel
7.58	46	12064	BB	4.2	52.6613	14.0066	160	138	2024-02-15	Märkisch-Oderland	Prötzel
7.58	46	12064	BB	4.2	52.6496	13.9845	160	138	2024-03-04	Märkisch-Oderland	Prötzel
7.58	46	12064	BB	4.2	52.6491	13.9996	160	138	2024-02-21	Märkisch-Oderland	Prötzel
7.58	46	12064	BB	4.2	52.6542	13.9934	160	138	2024-02-27	Märkisch-Oderland	Prötzel
7.58	46	12064	BB	4.2	52.6572	13.9952	160	139	2024-03-06	Märkisch-Oderland	Prötzel
7.58	46	12064	BB	4.2	52.6451	14.0025	160	138	2024-02-26	Märkisch-Oderland	Prötzel
7.58	46	12064	BB	4.2	52.6541	13.9861	160	138	2024-02-20	Märkisch-Oderland	Prötzel
7.58	46	12064	BB	4.2	52.6498	13.9917	160	138	2024-03-04	Märkisch-Oderland	Prötzel
7.39	44	12064	BB	5.7	52.6802	14.0677	164	163	2026-10-22	Märkisch-Oderland	Wriezen
7.39	44	12064	BB	5.7	52.6876	14.0613	164	149	2026-10-22	Märkisch-Oderland	Wriezen
7.39	44	12064	BB	5.7	52.6833	14.0647	164	163	2026-10-22	Märkisch-Oderland	Wriezen
7.35	44	12064	BB	4.8	52.6397	14.031	164	133	2025-02-25	Märkisch-Oderland	Prötzel
7.28	44	12064	BB	5.6	52.5221	13.9651	166	162	2027-09-02	Märkisch-Oderland	Rehfelde
7.28	44	12064	BB	5.6	52.5168	13.9735	166	162	2027-09-16	Märkisch-Oderland	Rehfelde
7.27	43	12064	BB	5.5	52.5062	14.3647	161	158	2025-02-04	Märkisch-Oderland	Vierlinden
7.27	43	12064	BB	5.5	52.5107	14.3703	161	158	2025-02-05	Märkisch-Oderland	Vierlinden
7.27	43	12064	BB	6.8	52.4972	14.3709	165	163	2024-09-18	Märkisch-Oderland	Vierlinden
7.27	43	12064	BB	4.2	52.5031	14.3667	160	138	2026-03-01	Märkisch-Oderland	Vierlinden
7.27	43	12064	BB	5.5	52.497	14.3848	161	158	2025-02-21	Märkisch-Oderland	Lindendorf
7.27	43	12064	BB	4.2	52.5035	14.3717	160	138	2026-03-01	Märkisch-Oderland	Vierlinden
7.27	43	12064	BB	4.2	52.5001	14.3681	160	138	2026-03-01	Märkisch-Oderland	Vierlinden
7.27	43	12064	BB	5.5	52.5086	14.3752	161	158	2025-02-04	Märkisch-Oderland	Vierlinden
7.27	43	12064	BB	4.2	52.5097	14.3557	160	138	2025-10-06	Märkisch-Oderland	Vierlinden
7.27	43	12064	BB	4.2	52.5076	14.3595	160	138	2025-10-09	Märkisch-Oderland	Vierlinden
7.27	43	12064	BB	4.2	52.509	14.3758	160	138	2026-03-01	Märkisch-Oderland	Vierlinden
7.27	43	12064	BB	4.2	52.5097	14.3639	160	138	2026-03-01	Märkisch-Oderland	Vierlinden
7.27	43	12064	BB	4.2	52.5064	14.3702	160	138	2026-03-01	Märkisch-Oderland	Vierlinden
7.25	43	12064	BB	4.26	52.5169	14.1916	160	138	2027-04-15	Märkisch-Oderland	Müncheberg
7.25	43	12064	BB	4.26	52.5264	14.1902	160	138	2027-04-15	Märkisch-Oderland	Müncheberg
7.25	43	12064	BB	4.26	52.5213	14.1859	160	138	2027-04-15	Märkisch-Oderland	Müncheberg
7.25	43	12064	BB	4.26	52.5241	14.1873	160	138	2027-04-15	Märkisch-Oderland	Müncheberg
7.25	43	12064	BB	4.26	52.5251	14.1815	160	138	2027-04-15	Märkisch-Oderland	Müncheberg
7.25	43	12064	BB	4.26	52.5266	14.1768	160	138	2027-04-15	Märkisch-Oderland	Müncheberg
7.25	43	12064	BB	4.26	52.5286	14.1856	160	138	2027-04-15	Märkisch-Oderland	Müncheberg
7.23	43	12064	BB	4.2	52.5469	14.2365	166	150	2024-03-22	Märkisch-Oderland	Neuhardenberg
7.23	43	12064	BB	4.2	52.557	14.2358	166	150	2024-03-22	Märkisch-Oderland	Neuhardenberg
7.23	43	12064	BB	4.2	52.5526	14.2215	166	150	2024-03-27	Märkisch-Oderland	Neuhardenberg
7.23	43	12064	BB	4.2	52.5505	14.217	166	150	2024-03-22	Märkisch-Oderland	Neuhardenberg
7.23	43	12064	BB	4.2	52.5506	14.2271	166	150	2024-11-22	Märkisch-Oderland	Neuhardenberg
7.23	43	12064	BB	4.2	52.5494	14.2325	166	150	2024-03-22	Märkisch-Oderland	Neuhardenberg
7.23	43	12064	BB	4.2	52.554	14.228	166	150	2024-11-19	Märkisch-Oderland	Neuhardenberg
7.23	43	12064	BB	4.2	52.5531	14.2345	166	150	2024-11-21	Märkisch-Oderland	Neuhardenberg
7.23	43	12064	BB	4.2	52.5568	14.2199	166	150	2024-11-25	Märkisch-Oderland	Neuhardenberg
7.2	43	12064	BB	4.26	52.4039	14.4325	160	138	2027-03-01	Märkisch-Oderland	Wulkow
7.18	43	12064	BB	6.2	52.4527	14.0023	169	162	2028-06-30	Märkisch-Oderland	Müncheberg
7.18	43	12064	BB	6.2	52.4548	14.0105	169	162	2028-06-30	Märkisch-Oderland	Müncheberg
7.18	43	12064	BB	6.2	52.4553	14.017	169	162	2028-06-30	Märkisch-Oderland	Müncheberg
7.18	43	12064	BB	6.2	52.459	14.0198	169	162	2028-06-30	Märkisch-Oderland	Müncheberg
7.18	43	12064	BB	6.2	52.4693	14.0181	166	162	2028-12-31	Märkisch-Oderland	Müncheberg
7.18	43	12064	BB	6.2	52.4614	14.0151	169	162	2028-06-30	Märkisch-Oderland	Müncheberg
7.18	43	12064	BB	6.2	52.4717	14.0265	166	162	2028-12-31	Märkisch-Oderland	Müncheberg
7.18	43	12064	BB	6.2	52.4682	14.024	166	162	2028-12-31	Märkisch-Oderland	Müncheberg
7.18	43	12064	BB	6	52.4865	13.9461	169	162	2025-10-28	Märkisch-Oderland	Rehfelde
7.18	43	12064	BB	6.2	52.4566	14.0013	169	162	2028-12-31	Märkisch-Oderland	Müncheberg
7.18	43	12064	BB	6.2	52.4477	14.0069	169	162	2028-06-30	Märkisch-Oderland	Müncheberg
7.18	43	12064	BB	6.2	52.4616	14.0016	169	162	2028-12-31	Märkisch-Oderland	Müncheberg
7.18	43	12064	BB	6.2	52.4591	14.0095	169	162	2028-12-31	Märkisch-Oderland	Müncheberg
7.18	43	12064	BB	6.2	52.4646	14.0051	169	162	2028-12-31	Märkisch-Oderland	Müncheberg
7.18	43	12064	BB	6.2	52.4653	14.0204	169	162	2028-12-31	Märkisch-Oderland	Müncheberg
7.18	43	12064	BB	6.2	52.4672	14.012	166	162	2028-12-31	Märkisch-Oderland	Müncheberg
7.18	43	12064	BB	6.2	52.4511	14.0112	169	162	2028-06-30	Märkisch-Oderland	Müncheberg
7.17	43	12064	BB	6.8	52.5532	14.3209	165	163	2025-12-10	Märkisch-Oderland	Vierlinden
7.17	43	12064	BB	6.8	52.5455	14.322	165	163	2025-12-09	Märkisch-Oderland	Vierlinden
7.17	43	12064	BB	4.2	52.5127	14.3655	160	138	2026-03-01	Märkisch-Oderland	Vierlinden
7.17	43	12064	BB	6.8	52.5536	14.3279	165	163	2025-12-17	Märkisch-Oderland	Vierlinden
7.17	43	12064	BB	6.8	52.541	14.3288	165	163	2025-12-17	Märkisch-Oderland	Vierlinden
7.17	43	12064	BB	6.8	52.548	14.3183	165	163	2025-12-10	Märkisch-Oderland	Vierlinden
7.17	43	12064	BB	5.6	52.5453	14.3339	169	162	2027-08-08	Märkisch-Oderland	Vierlinden
7.17	43	12064	BB	5.6	52.5443	14.3274	169	162	2027-08-08	Märkisch-Oderland	Vierlinden
7.17	43	12064	BB	4.2	52.5149	14.362	160	138	2026-03-01	Märkisch-Oderland	Vierlinden
7.17	43	12064	BB	4.2	52.5125	14.3536	160	138	2025-10-06	Märkisch-Oderland	Vierlinden
7.17	43	12064	BB	5.56	52.5408	14.3513	167	160	2028-01-01	Märkisch-Oderland	Seelow
7.17	43	12064	BB	5.56	52.5433	14.3434	167	160	2028-01-01	Märkisch-Oderland	Seelow
7.16	43	12064	BB	6.8	52.4825	13.9422	179	175	2026-11-30	Märkisch-Oderland	Rehfelde
7.12	42	12064	BB	5.56	52.4623	14.4369	167	160	2025-09-05	Märkisch-Oderland	Fichtenhöhe
7.05	41	12064	BB	5.56	52.4444	14.5028	167	160	2025-12-16	Märkisch-Oderland	Mallnow
7.05	41	12064	BB	5.56	52.4448	14.5165	167	160	2025-12-18	Märkisch-Oderland	Lebus
7.05	41	12064	BB	5.56	52.4536	14.5102	167	160	2025-12-18	Märkisch-Oderland	Mallnow
